thumbnail,title,link_1,1_href,link_2,2_href
./img/press/4.png,Reuters TV logo (horizontal),PNG (66 KB),https://www.reuters.tv/about/img/press/Reuters%20TV%20logo%20horizontal.png,EPS (414 KB),https://www.reuters.tv/about/img/press/Reuters%20TV%20logo%20horizontal.eps
./img/press/2.png,Reuters TV on landscape iPhone 6,Small PNG (100 KB),https://www.reuters.tv/about/img/press/Landscape_Small.png,Large PNG (474 KB),https://www.reuters.tv/about/img/press/Landscape_Large.png
./img/press/9.png,Screenshot in context (portrait),Small PNG (495 KB),https://www.reuters.tv/about/img/press/Context_Portrait_Small.png,Large PNG (2.3 MB),https://www.reuters.tv/about/img/press/Context_Portrait_Large.png
./img/press/1.gif,Reuters TV logo (vertical),PNG (89.4 KB),https://www.reuters.tv/about/img/press/Reuters%20TV%20logo%20vertical.png,EPS (565.6 KB),https://www.reuters.tv/about/img/press/Reuters%20TV%20logo%20vertical.eps
./img/press/rtv_portrait_iphone.png,Reuters TV on portrait iPhone 6,Small PNG (182 KB),https://www.reuters.tv/about/img/press/Portrait_Small.png,Large PNG (474 KB),https://www.reuters.tv/about/img/press/Portrait_Large.png
./img/press/3.jpg,Video: Reuters TV Anthem Film,Embed HTML,https://www.reuters.tv/press#,Download MP4 (7.6 MB),https://www.reuters.tv/videos/anthem-od47.mp4
./img/press/7.png,Hand holding phone,Small PNG (406 KB),https://www.reuters.tv/about/img/press/HandHolding_Small.png,Large PNG (410 KB),https://www.reuters.tv/about/img/press/HandHolding_Large.png
./img/press/8.png,Screenshot in context (landscape),Small PNG (521 KB),https://www.reuters.tv/about/img/press/Context_Landscape_Small.png,Large PNG (2.4 MB),https://www.reuters.tv/about/img/press/Context_Landscape_Large.png
./img/press/6.jpg,Video: Reuters TV Reveal Party Keynote,Embed HTML,https://www.reuters.tv/press#,Download MP4 (70.2 MB),https://www.reuters.tv/about/videos/launch-party-video.mp4
./img/press/ipad-portrait_hand_thumb.png,Hand holding iPad,Small PNG (765 KB),https://www.reuters.tv/about/img/press/ipad-portrait_hand_small.png,Large PNG (1.3 MB),https://www.reuters.tv/about/img/press/ipad-portrait_hand_large.png
./img/press/Context_thumb.png,iPad screenshot in context (landscape),Small PNG (819 KB),https://www.reuters.tv/about/img/press/Context_small.png,Large PNG (1.2 MB),https://www.reuters.tv/about/img/press/Context_large.png
./img/press/ipad-angled_thumb.png,iPad (angled),Small PNG (495 KB),https://www.reuters.tv/about/img/press/ipad-angled_small.png,Large PNG (2.3 MB),https://www.reuters.tv/about/img/press/ipad-angled_large.png
./img/press/TV_02-thumb.png,Apple TV,Small PNG (376 KB),https://www.reuters.tv/about/img/press/TV_02-small.png,Large PNG (1.2 MB),https://www.reuters.tv/about/img/press/TV_02-large.png
./img/press/WebApp_thumb.png,Web App,Small PNG (496 KB),https://www.reuters.tv/about/img/press/WebApp_small.png,Large PNG (860 KB),https://www.reuters.tv/about/img/press/WebApp_large.png
./img/press/WebAppContext_thumb.png,Web App in context,Small JPG (332 KB),https://www.reuters.tv/about/img/press/WebAppContext_05small.jpg,Large JPG (886 KB),https://www.reuters.tv/about/img/press/WebAppContext_05large.jpg
