href,title,image,date,background
http://www.niemanlab.org/2015/12/the-evolution-of-autoplay/,The evolution of autoplay,/img/press/Thumb-Nieman.gif,"December 16, 2015",light
http://time.com/4143145/best-iphone-apps-2015/,Apple&rsquo;s 25 best iPhone <br>apps of the year,/img/press/Thumb-TIME.jpg,"December 9, 2015",light
http://theplatter.io/apple-tv/reuters-tv-is-ready-for-the-new-apple-tv/,Reuters TV is ready<br> for the new Apple TV,/img/press/Thumb-ThePlatter.gif,"October 31, 2015",light
http://digiday.com/publishers/reuters-tv-plots-expansion-following-shift-away-subscriptions/,Reuters TV plots expansion<br> after dropping paywall,/img/digiday.gif,"November 12, 2015",dark
http://www.relevantdad.com/2015/11/reuters-tv-app-brings-the-news-to-you/,Reuters TV app brings<br> the news to you,/img/press/Logo_RelevantDad.png,"November 5, 2015",light
http://www.forbes.com/sites/robsalkowitz/2015/10/29/apple-tv-launches-with-a-diverse-slate-of-apps/,Apple TV launches with <br>a diverse slate of apps,/img/press/Logo_Forbes.png,"October 29, 2015",light
http://www.theguardian.com/media/2015/feb/05/reuters-tv-app-netflix-for-news-iphone,Reuters launches &lsquo;Netflix <br> for news&rsquo; app,/img/the-guardian.png,"February 05, 2015",light
http://www.fastcompany.com/3042037/fast-feed/new-reuters-app-offers-short-news-videos-based-on-your-interests,New Reuters app offers short news videos<br> based on your interests,/img/fast-company.png,"February 05, 2015",light 
http://thenextweb.com/apps/2015/02/05/reuters-brings-demand-video-news-iphone/,Reuters brings on-demand<br> video news to the iPhone,/img/tnw.png,"February 05, 2015",light
"press-links__item-link"" href=""http://variety.com/2015/digital/news/reuters-launches-netflix-for-news-app-can-it-put-a-dent-in-cnbc-1201423756/",Reuters launches &lsquo;Netflix for news&rsquo; app: <br>can it put a dent in CNN or CNBC?,/img/variety.png,"February 04, 2015",light
http://qz.com/294563/reuters-wants-to-convince-young-people-to-embrace-tv-news-on-their-phones/,Reuters wants to convince young people to<br> embrace TV news on their phones,/img/quartz.png,"November 11, 2014",light
http://www.capitalnewyork.com/article/media/2014/11/8556421/unveiling-reuters-tv,Unveiling Reuters TV,/img/capital.png,"November 11, 2014",light
http://digiday.com/publishers/reuters-tv/,Reuters TV aims to personalize news broadcasts,/img/digiday.gif,"November 11, 2014",dark
http://adage.com/article/media/reuters-latest-news-org-digital-tv-service/295256/,Reuters is the latest to try reinventing news with digital TV service,/img/adage.gif,"October 3, 2014",dark
